العربية,English,বাংলা,فارسی,Français,Indonesia,Italiano,Dutch,Português,русский,Shqip,ภาษาไทย,Türkçe,اردو,简体中文,Melayu,Español,Kiswahili,Tiếng Việt
"سؤال وجواب قرآني","Quran Q&A","ইন্টারেক্টিভ কুরআন","قرآن تعاملی","Coran interactif","Quran Interaktif","Corano interattivo","Interactieve Koran","Alcorão interativo","Интерактивный Коран","Kuran interaktiv","อัลกุรอานอินเทอร์แอคทีฟ","İnteraktif Kuran","انٹرایکٹو قرآن","互动古兰经","Al-Quran Interaktif","Corán interactivo","Quran Maingiliano","Mishary Rashid Alafasy"
"تفسير بالذكاء الاصطناعي","Learn Quran Online","মিশারি রশিদ আলাফাসি","مشاری راشد العفاسی","Mishary Rashid Alafasy","Mishary Rashid Alafasy","Mishary Rashid Alafasy","Mishary Rashid Alafasy","Mishary Rashid Alafasy","Мишари Рашид Аль-Афаси","Mishary Rashid Alafasy","มิชารี ราชิด อัลอาฟาซี","Mishary Rashid Alafasy","مشاری راشد العفاسی","米沙里·拉希德·阿法西","Mishary Rashid Alafasy","Mishary Rashid Alafasy","Mishary Rashid Alafasy","Abdul Basit"
"تعلم القرآن أونلاين","Quran App","আব্দুল বাসিত","عبدالباسط عبدالصمد","Abdul Basit","Abdul Basit","Abdul Basit","Abdul Basit","Abdul Basit","Абдул Басит","Abdul Basit","อับดุล บาซิต","Abdul Basit","عبد الباسط عبد الصمد","阿卜杜勒·巴西特","Abdul Basit","Abdul Basit","Abdul Basit","Saad Al-Ghamdi"
"محادثة إسلامية","Quran Learning","সাদ আল-গামিদি","سعد الغامدی","Saad Al-Ghamdi","Saad Al-Ghamdi","Saad Al-Ghamdi","Saad Al-Ghamdi","Saad Al-Ghamdi","Саад аль-Гамиди","Saad Al-Ghamdi","ซาอัด อัลฆอมิดี","Saad Al-Ghamdi","سعد الغامدی","萨阿德·加米迪","Saad Al-Ghamdi","Saad Al-Ghamdi","Saad Al-Ghamdi","Đọc theo Hafs"
"روبوت قرآني","Interactive Quran","হাফস রেওয়ায়েত","روایت حفص","Récitation Hafs","Bacaan Hafs","Recitazione Hafs","Hafs recitatie","Recitação Hafs","Чтение Хафс","Recitim Hafs","การอ่านฮัฟส์","Hafs Kıraatı","روایت حفص","哈夫斯诵读","Bacaan Hafs","Recitación Hafs","Usomaji wa Hafs","Đọc theo Warsh"
"منصة قرآنية تفاعلية","AI Tafsir","ওয়ার্শ রেওয়ায়েত","روایت ورش","Récitation Warsh","Bacaan Warsh","Recitazione Warsh","Warsh recitatie","Recitação Warsh","Чтение Варш","Recitim Warsh","การอ่านวาร์ช","Warsh Kıraatı","روایت ورش","瓦尔什诵读","Bacaan Warsh","Recitación Warsh","Usomaji wa Warsh","Phần 1"
"تصحيح التلاوة","Quran Recitation Practice","পারা ১","جزء اول","Jouz 1","Juz 1","Juz 1","Juz 1","Juz 1","Джуз 1","Xhuz 1","ญุซที่ 1","Cüz 1","پارہ 1","第1卷","Juzuk 1","Yuz 1","Juz 1","Phần 2"
"تحفيظ القرآن ذكاء اصطناعي","Online Quran Study","পারা ২","جزء دوم","Jouz 2","Juz 2","Juz 2","Juz 2","Juz 2","Джуз 2","Xhuz 2","ญุซที่ 2","Cüz 2","پارہ 2","第2卷","Juzuk 2","Yuz 2","Juz 2","Phần 3"
"تعليم التجويد","Mishary Rashid Alafasy","পারা ৩","جزء سوم","Jouz 3","Juz 3","Juz 3","Juz 3","Juz 3","Джуз 3","Xhuz 3","ญุซที่ 3","Cüz 3","پارہ 3","第3卷","Juzuk 3","Yuz 3","Juz 3","Phần 4"
"مشاري راشد العفاسي","Abdul Basit","পারা ৪","جزء چهارم","Jouz 4","Juz 4","Juz 4","Juz 4","Juz 4","Джуз 4","Xhuz 4","ญุซที่ 4","Cüz 4","پارہ 4","第4卷","Juzuk 4","Yuz 4","Juz 4","Phần 5"
"عبد الباسط عبد الصمد","Saad Al-Ghamdi","পারা ৫","جزء پنجم","Jouz 5","Juz 5","Juz 5","Juz 5","Juz 5","Джуз 5","Xhuz 5","ญุซที่ 5","Cüz 5","پارہ 5","第5卷","Juzuk 5","Yuz 5","Juz 5","Phần 6"
"سعد الغامدي","Maher Al-Mueaqly","পারা ৬","جزء ششم","Jouz 6","Juz 6","Juz 6","Juz 6","Juz 6","Джуз 6","Xhuz 6","ญุซที่ 6","Cüz 6","پارہ 6","第6卷","Juzuk 6","Yuz 6","Juz 6","Phần 7"
"ماهر المعيقلي","Abdul Rahman Al-Sudais","পারা ৭","جزء هفتم","Jouz 7","Juz 7","Juz 7","Juz 7","Juz 7","Джуз 7","Xhuz 7","ญุซที่ 7","Cüz 7","پارہ 7","第7卷","Juzuk 7","Yuz 7","Juz 7","Phần 8"
"عبد الرحمن السديس","Al-Husary","পারা ৮","جزء هشتم","Jouz 8","Juz 8","Juz 8","Juz 8","Juz 8","Джуз 8","Xhuz 8","ญุซที่ 8","Cüz 8","پارہ 8","第8卷","Juzuk 8","Yuz 8","Juz 8","Phần 9"
"الحصري","Hafs recitation","পারা ৯","جزء نهم","Jouz 9","Juz 9","Juz 9","Juz 9","Juz 9","Джуз 9","Xhuz 9","ญุซที่ 9","Cüz 9","پارہ 9","第9卷","Juzuk 9","Yuz 9","Juz 9","Phần 10"
"محمود خليل الحصري","Warsh recitation","পারা ১০","جزء دهم","Jouz 10","Juz 10","Juz 10","Juz 10","Juz 10","Джуз 10","Xhuz 10","ญุซที่ 10","Cüz 10","پارہ 10","第10卷","Juzuk 10","Yuz 10","Juz 10","Juz Amma"
"رواية حفص","Juz 1","জুজ আম্মা","جزء عم","Jouz Amma","Juz Amma","Juz Amma","Juz Amma","Juz Amma","Джуз Амма","Xhuz Amma","ญุซอัมมา","Cüz Amma","جز عم","安玛章","Juz Amma","Yuz Amma","Juz Amma","Juz Tabarak"
"رواية ورش","Juz 2","জুজ তাবারক","جزء تبارک","Jouz Tabarak","Juz Tabarak","Juz Tabarak","Juz Tabarak","Juz Tabarak","Джуз Табарак","Xhuz Tabarak","ญุซตะบาร็อก","Cüz Tabarak","جز تبارک","塔巴拉克章","Juz Tabarak","Yuz Tabarak","Juz Tabarak","Dhikr buổi sáng"
"رواية قالون","Juz 3","সকালের আজকার","اذکار صبح","Dhikr du matin","Dzikir Pagi","Dhikr mattutino","Ochtend Dhikr","Dhikr da manhã","Утренний Зикр","Dhikr i mëngjesit","ซิกรฺตอนเช้า","Sabah Zikri","صبح کے اذکار","早晨念珠","Zikir Pagi","Dhikr de la mañana","Dhikr ya Asubuhi","Dhikr buổi tối"
"الجزء الأول","Juz 4","সন্ধ্যার আজকার","اذکار شب","Dhikr du soir","Dzikir Petang","Dhikr serale","Avond Dhikr","Dhikr da tarde","Вечерний Зикр","Dhikr i mbrëmjes","ซิกรฺตอนเย็น","Akşam Zikri","شام کے اذکار","晚间念珠","Zikir Petang","Dhikr de la tarde","Dhikr ya Jioni","Dua"
"الجزء الثاني","Juz 5","দোয়া","دعا","Dua","Doa","Dua","Dua","Dua","Дуа","Dua","ดุอาอ์","Dua","دعا","祈祷词","Doa","Dua","Dua","Ayat Al-Kursi"
"الجزء الثالث","Juz 6","আয়াতুল কুরসি","آیت‌الکرسی","Ayat Al-Kursi","Ayat Kursi","Ayat Al-Kursi","Ayat Al-Kursi","Ayat Al-Kursi","Аят аль-Курси","Ajet al-Kursij","อายะตุลกุรซี","Ayetel Kürsi","آیت الکرسی","宝座章","Ayat Kursi","Ayat Al-Kursi","Aya al-Kursi","Surah ngắn"
"الجزء الرابع","Juz 7","ছোট সূরা","سوره‌های کوتاه","Courtes sourates","Surat Pendek","Sure brevi","Korte soeras","Suratas curtas","Короткие суры","Sure të shkurtra","ซูเราะห์สั้น","Kısa Sureler","چھوٹی سورتیں","短章","Surah Pendek","Suras cortas","Sura Fupi","Đọc hết Quran"
"الجزء الخامس","Juz 8","কুরআন খতম","ختم قرآن","Khatam Coran","Khatam Quran","Khatam Corano","Koran khatam","Khatam Alcorão","Хатм Корана","Khatam Kurani","ขะตัมอัลกุรอาน","Kuran Hatim","قرآن ختم","完成古兰经诵读","Khatam Al-Quran","Khatam Corán","Khatam Quran","Wird hàng ngày"
"الجزء السادس","Juz 9","দৈনিক ওয়াজিফা","ورد روزانه","Wird quotidien","Wirid Harian","Wird quotidiano","Dagelijkse Wird","Wird diário","Ежедневный Вирд","Wird ditor","วิรดฺประจำวัน","Günlük Vird","روزانہ ورد","每日功课","Wirid Harian","Wird diario","Wird ya Kila Siku","Tìm kiếm trong Quran"
"الجزء السابع","Juz 10","কুরআন অনুসন্ধান","جستجو در قرآن","Rechercher dans le Coran","Cari Ayat Quran","Cerca nel Corano","Zoek in de Koran","Pesquisar Alcorão","Поиск в Коране","Kërko në Kuran","ค้นหาในอัลกุรอาน","Kuranda Ara","قرآن میں تلاش","搜索古兰经","Cari Ayat Quran","Buscar en el Corán","Tafuta Katika Quran","Ý nghĩa Quran"
"الجزء الثامن","Juz Amma","কুরআনের অর্থ","معانی قرآن","Signification du Coran","Makna Al-Quran","Significato del Corano","Koran betekenis","Significado Alcorão","Значение Корана","Kuptimi i Kuranit","ความหมายอัลกุรอาน","Kuran Anlamı","قرآن کے معنی","古兰经含义","Makna Al-Quran","Significado del Corán","Maana ya Quran","Tafsir Ibn Kathir"
"الجزء التاسع","Juz Tabarak","তাফসির ইবনে কাসির","تفسیر ابن‌کثیر","Tafsir Ibn Kathir","Tafsir Ibnu Katsir","Tafsir Ibn Kathir","Tafsir Ibn Kathir","Tafsir Ibn Kathir","Тафсир Ибн Касир","Tefsir Ibn Kethir","ตัฟซีรอิบนุกะษีร","İbn Kesir Tefsiri","تفسیر ابن کثیر","伊本·卡西尔注释","Tafsir Ibn Kathir","Tafsir Ibn Kathir","Tafsir Ibn Kathir","Kỳ diệu của Quran"
"الجزء العاشر","Morning Adhkar","কুরআনের অলৌকিকতা","اعجاز قرآن","Miracle du Coran","Mukjizat Quran","Miracolo del Corano","Wonder van de Koran","Milagre do Alcorão","Чудо Корана","Mrekullia e Kuranit","มิรอกเคิลอัลกุรอาน","Kuranın Mucizesi","قرآن کا معجزہ","古兰经奇迹","Mukjizat Al-Quran","Milagro del Corán","Muujiza wa Quran","Kinh Quran tiếng Việt"
"جزء عم","Evening Adhkar","কুরআন বাংলা অনুবাদ","قرآن به فارسی","Coran en français","Quran Bahasa Indonesia","Corano in italiano","Koran in het Nederlands","Alcorão em português","Коран на русском","Kurani në shqip","อัลกุรอานภาษาไทย","Türkçe Kuran","اردو قرآن","中文古兰经","Al-Quran Bahasa Melayu","Corán en español","Quran kwa Kiswahili","Surah Al-Fatihah"
"جزء تبارك","Dua","সূরা Al-Fatihah","سوره Al-Fatihah","Sourate Al-Fatihah","Surah Al-Fatihah","Sura Al-Fatihah","Soera Al-Fatihah","Surata Al-Fatihah","Сура Al-Fatihah","Sure Al-Fatihah","ซูเราะห์ Al-Fatihah","Sure Al-Fatihah","سورہ Al-Fatihah","苏拉 Al-Fatihah","Surah Al-Fatihah","Sura Al-Fatihah","Sura Al-Fatihah","Surah Al-Baqarah"
"أذكار الصباح","Ayat Al-Kursi","সূরা Al-Baqarah","سوره Al-Baqarah","Sourate Al-Baqarah","Surah Al-Baqarah","Sura Al-Baqarah","Soera Al-Baqarah","Surata Al-Baqarah","Сура Al-Baqarah","Sure Al-Baqarah","ซูเราะห์ Al-Baqarah","Sure Al-Baqarah","سورہ Al-Baqarah","苏拉 Al-Baqarah","Surah Al-Baqarah","Sura Al-Baqarah","Sura Al-Baqarah","Surah Ali Imran"
"أذكار المساء","Short Surahs","সূরা Ali Imran","سوره Ali Imran","Sourate Ali Imran","Surah Ali Imran","Sura Ali Imran","Soera Ali Imran","Surata Ali Imran","Сура Ali Imran","Sure Ali Imran","ซูเราะห์ Ali Imran","Sure Ali Imran","سورہ Ali Imran","苏拉 Ali Imran","Surah Ali Imran","Sura Ali Imran","Sura Ali Imran","Surah An-Nisa"
"دعاء","Complete Quran","সূরা An-Nisa","سوره An-Nisa","Sourate An-Nisa","Surah An-Nisa","Sura An-Nisa","Soera An-Nisa","Surata An-Nisa","Сура An-Nisa","Sure An-Nisa","ซูเราะห์ An-Nisa","Sure An-Nisa","سورہ An-Nisa","苏拉 An-Nisa","Surah An-Nisa","Sura An-Nisa","Sura An-Nisa","Surah Al-Ma'idah"
"آية الكرسي","Daily Wird","সূরা Al-Ma'idah","سوره Al-Ma'idah","Sourate Al-Ma'idah","Surah Al-Ma'idah","Sura Al-Ma'idah","Soera Al-Ma'idah","Surata Al-Ma'idah","Сура Al-Ma'idah","Sure Al-Ma'idah","ซูเราะห์ Al-Ma'idah","Sure Al-Ma'idah","سورہ Al-Ma'idah","苏拉 Al-Ma'idah","Surah Al-Ma'idah","Sura Al-Ma'idah","Sura Al-Ma'idah","Surah Al-An'am"
"سور قصيرة","Quran Khatam","সূরা Al-An'am","سوره Al-An'am","Sourate Al-An'am","Surah Al-An'am","Sura Al-An'am","Soera Al-An'am","Surata Al-An'am","Сура Al-An'am","Sure Al-An'am","ซูเราะห์ Al-An'am","Sure Al-An'am","سورہ Al-An'am","苏拉 Al-An'am","Surah Al-An'am","Sura Al-An'am","Sura Al-An'am","Surah Al-A'raf"
"ختمة القرآن","Search Quran","সূরা Al-A'raf","سوره Al-A'raf","Sourate Al-A'raf","Surah Al-A'raf","Sura Al-A'raf","Soera Al-A'raf","Surata Al-A'raf","Сура Al-A'raf","Sure Al-A'raf","ซูเราะห์ Al-A'raf","Sure Al-A'raf","سورہ Al-A'raf","苏拉 Al-A'raf","Surah Al-A'raf","Sura Al-A'raf","Sura Al-A'raf","Surah Al-Anfal"
"ورد يومي","Quran Meaning","সূরা Al-Anfal","سوره Al-Anfal","Sourate Al-Anfal","Surah Al-Anfal","Sura Al-Anfal","Soera Al-Anfal","Surata Al-Anfal","Сура Al-Anfal","Sure Al-Anfal","ซูเราะห์ Al-Anfal","Sure Al-Anfal","سورہ Al-Anfal","苏拉 Al-Anfal","Surah Al-Anfal","Sura Al-Anfal","Sura Al-Anfal","Surah At-Tawbah"
"خشوع","Quran Miracle","সূরা At-Tawbah","سوره At-Tawbah","Sourate At-Tawbah","Surah At-Tawbah","Sura At-Tawbah","Soera At-Tawbah","Surata At-Tawbah","Сура At-Tawbah","Sure At-Tawbah","ซูเราะห์ At-Tawbah","Sure At-Tawbah","سورہ At-Tawbah","苏拉 At-Tawbah","Surah At-Tawbah","Sura At-Tawbah","Sura At-Tawbah","Surah Yunus"
"قيام الليل","Quran Tafseer","সূরা Yunus","سوره Yunus","Sourate Yunus","Surah Yunus","Sura Yunus","Soera Yunus","Surata Yunus","Сура Yunus","Sure Yunus","ซูเราะห์ Yunus","Sure Yunus","سورہ Yunus","苏拉 Yunus","Surah Yunus","Sura Yunus","Sura Yunus","Surah Hud"
"بحث في القرآن","Ibn Kathir Tafsir","সূরা Hud","سوره Hud","Sourate Hud","Surah Hud","Sura Hud","Soera Hud","Surata Hud","Сура Hud","Sure Hud","ซูเราะห์ Hud","Sure Hud","سورہ Hud","苏拉 Hud","Surah Hud","Sura Hud","Sura Hud","Surah Yusuf"
"قرآن كريم كامل","Quran Word Meaning","সূরা Yusuf","سوره Yusuf","Sourate Yusuf","Surah Yusuf","Sura Yusuf","Soera Yusuf","Surata Yusuf","Сура Yusuf","Sure Yusuf","ซูเราะห์ Yusuf","Sure Yusuf","سورہ Yusuf","苏拉 Yusuf","Surah Yusuf","Sura Yusuf","Sura Yusuf","Surah Ar-Ra'd"
"تفسير ابن كثير","Quran in English","সূরা Ar-Ra'd","سوره Ar-Ra'd","Sourate Ar-Ra'd","Surah Ar-Ra'd","Sura Ar-Ra'd","Soera Ar-Ra'd","Surata Ar-Ra'd","Сура Ar-Ra'd","Sure Ar-Ra'd","ซูเราะห์ Ar-Ra'd","Sure Ar-Ra'd","سورہ Ar-Ra'd","苏拉 Ar-Ra'd","Surah Ar-Ra'd","Sura Ar-Ra'd","Sura Ar-Ra'd","Surah Ibrahim"
"تفسير السعدي","Surah Al-Fatihah","সূরা Ibrahim","سوره Ibrahim","Sourate Ibrahim","Surah Ibrahim","Sura Ibrahim","Soera Ibrahim","Surata Ibrahim","Сура Ibrahim","Sure Ibrahim","ซูเราะห์ Ibrahim","Sure Ibrahim","سورہ Ibrahim","苏拉 Ibrahim","Surah Ibrahim","Sura Ibrahim","Sura Ibrahim","Surah Al-Hijr"
"معاني القرآن","Surah Al-Baqarah","সূরা Al-Hijr","سوره Al-Hijr","Sourate Al-Hijr","Surah Al-Hijr","Sura Al-Hijr","Soera Al-Hijr","Surata Al-Hijr","Сура Al-Hijr","Sure Al-Hijr","ซูเราะห์ Al-Hijr","Sure Al-Hijr","سورہ Al-Hijr","苏拉 Al-Hijr","Surah Al-Hijr","Sura Al-Hijr","Sura Al-Hijr","Surah An-Nahl"
"إعجاز القرآن","Surah Ali Imran","সূরা An-Nahl","سوره An-Nahl","Sourate An-Nahl","Surah An-Nahl","Sura An-Nahl","Soera An-Nahl","Surata An-Nahl","Сура An-Nahl","Sure An-Nahl","ซูเราะห์ An-Nahl","Sure An-Nahl","سورہ An-Nahl","苏拉 An-Nahl","Surah An-Nahl","Sura An-Nahl","Sura An-Nahl","Surah Al-Isra"
"إعراب القرآن","Surah An-Nisa","সূরা Al-Isra","سوره Al-Isra","Sourate Al-Isra","Surah Al-Isra","Sura Al-Isra","Soera Al-Isra","Surata Al-Isra","Сура Al-Isra","Sure Al-Isra","ซูเราะห์ Al-Isra","Sure Al-Isra","سورہ Al-Isra","苏拉 Al-Isra","Surah Al-Isra","Sura Al-Isra","Sura Al-Isra","Surah Al-Kahf"
"سورة Al-Fatihah","Surah Al-Ma'idah","সূরা Al-Kahf","سوره Al-Kahf","Sourate Al-Kahf","Surah Al-Kahf","Sura Al-Kahf","Soera Al-Kahf","Surata Al-Kahf","Сура Al-Kahf","Sure Al-Kahf","ซูเราะห์ Al-Kahf","Sure Al-Kahf","سورہ Al-Kahf","苏拉 Al-Kahf","Surah Al-Kahf","Sura Al-Kahf","Sura Al-Kahf","Surah Maryam"
"سورة Al-Baqarah","Surah Al-An'am","সূরা Maryam","سوره Maryam","Sourate Maryam","Surah Maryam","Sura Maryam","Soera Maryam","Surata Maryam","Сура Maryam","Sure Maryam","ซูเราะห์ Maryam","Sure Maryam","سورہ Maryam","苏拉 Maryam","Surah Maryam","Sura Maryam","Sura Maryam","Surah Ta-Ha"
"سورة Ali Imran","Surah Al-A'raf","সূরা Ta-Ha","سوره Ta-Ha","Sourate Ta-Ha","Surah Ta-Ha","Sura Ta-Ha","Soera Ta-Ha","Surata Ta-Ha","Сура Ta-Ha","Sure Ta-Ha","ซูเราะห์ Ta-Ha","Sure Ta-Ha","سورہ Ta-Ha","苏拉 Ta-Ha","Surah Ta-Ha","Sura Ta-Ha","Sura Ta-Ha","Surah Al-Anbiya"
"سورة An-Nisa","Surah Al-Anfal","সূরা Al-Anbiya","سوره Al-Anbiya","Sourate Al-Anbiya","Surah Al-Anbiya","Sura Al-Anbiya","Soera Al-Anbiya","Surata Al-Anbiya","Сура Al-Anbiya","Sure Al-Anbiya","ซูเราะห์ Al-Anbiya","Sure Al-Anbiya","سورہ Al-Anbiya","苏拉 Al-Anbiya","Surah Al-Anbiya","Sura Al-Anbiya","Sura Al-Anbiya","Surah Al-Hajj"
"سورة Al-Ma'idah","Surah At-Tawbah","সূরা Al-Hajj","سوره Al-Hajj","Sourate Al-Hajj","Surah Al-Hajj","Sura Al-Hajj","Soera Al-Hajj","Surata Al-Hajj","Сура Al-Hajj","Sure Al-Hajj","ซูเราะห์ Al-Hajj","Sure Al-Hajj","سورہ Al-Hajj","苏拉 Al-Hajj","Surah Al-Hajj","Sura Al-Hajj","Sura Al-Hajj","Surah Al-Mu'minun"
